TIMESTAMP,ECG
2023-12-11 02:17:51.174511811+00:00,-54
2023-12-11 02:17:51.182385826+00:00,-48
2023-12-11 02:17:51.190259842+00:00,-47
2023-12-11 02:17:51.198133858+00:00,-44
2023-12-11 02:17:51.206007874+00:00,-41
2023-12-11 02:17:51.213881889+00:00,-43
2023-12-11 02:17:51.221755905+00:00,-35
2023-12-11 02:17:51.229629921+00:00,-32
2023-12-11 02:17:51.237503937+00:00,-34
2023-12-11 02:17:51.245377952+00:00,-25
2023-12-11 02:17:51.253251968+00:00,-26
2023-12-11 02:17:51.261125984+00:00,-22
2023-12-11 02:17:51.269000+00:00,-19
2023-12-11 02:17:51.269000+00:00,-17
2023-12-11 02:17:51.276874015+00:00,-16
2023-12-11 02:17:51.284748031+00:00,-18
2023-12-11 02:17:51.292622047+00:00,-17
2023-12-11 02:17:51.300496062+00:00,-5
2023-12-11 02:17:51.308370078+00:00,-1
2023-12-11 02:17:51.316244094+00:00,8
2023-12-11 02:17:51.324118110+00:00,16
2023-12-11 02:17:51.331992125+00:00,22
2023-12-11 02:17:51.339866141+00:00,37
2023-12-11 02:17:51.347740157+00:00,49
2023-12-11 02:17:51.355614173+00:00,59
2023-12-11 02:17:51.363488188+00:00,70
2023-12-11 02:17:51.371362204+00:00,76
2023-12-11 02:17:51.379236220+00:00,85
2023-12-11 02:17:51.387110236+00:00,84
2023-12-11 02:17:51.394984251+00:00,89
2023-12-11 02:17:51.402858267+00:00,86
2023-12-11 02:17:51.410732283+00:00,78
2023-12-11 02:17:51.418606299+00:00,77
2023-12-11 02:17:51.426480314+00:00,60
2023-12-11 02:17:51.434354330+00:00,48
2023-12-11 02:17:51.442228346+00:00,37
2023-12-11 02:17:51.450102362+00:00,20
2023-12-11 02:17:51.457976377+00:00,14
2023-12-11 02:17:51.465850393+00:00,4
2023-12-11 02:17:51.473724409+00:00,-4
2023-12-11 02:17:51.481598425+00:00,-4
2023-12-11 02:17:51.489472440+00:00,-17
2023-12-11 02:17:51.497346456+00:00,-22
2023-12-11 02:17:51.505220472+00:00,-23
2023-12-11 02:17:51.513094488+00:00,-26
2023-12-11 02:17:51.520968503+00:00,-24
2023-12-11 02:17:51.528842519+00:00,-26
2023-12-11 02:17:51.536716535+00:00,-28
2023-12-11 02:17:51.544590551+00:00,-30
2023-12-11 02:17:51.552464566+00:00,-33
2023-12-11 02:17:51.560338582+00:00,-29
2023-12-11 02:17:51.568212598+00:00,-33
2023-12-11 02:17:51.576086614+00:00,-34
2023-12-11 02:17:51.583960629+00:00,-40
2023-12-11 02:17:51.591834645+00:00,-40
2023-12-11 02:17:51.599708661+00:00,-39
2023-12-11 02:17:51.607582677+00:00,-45
2023-12-11 02:17:51.615456692+00:00,-48
2023-12-11 02:17:51.623330708+00:00,-44
2023-12-11 02:17:51.631204724+00:00,-48
2023-12-11 02:17:51.639078740+00:00,-44
2023-12-11 02:17:51.646952755+00:00,-43
2023-12-11 02:17:51.654826771+00:00,-44
2023-12-11 02:17:51.662700787+00:00,-42
2023-12-11 02:17:51.670574803+00:00,-50
2023-12-11 02:17:51.678448818+00:00,-43
2023-12-11 02:17:51.686322834+00:00,-44
2023-12-11 02:17:51.694196850+00:00,-48
2023-12-11 02:17:51.702070866+00:00,-43
2023-12-11 02:17:51.709944881+00:00,-41
2023-12-11 02:17:51.717818897+00:00,-43
2023-12-11 02:17:51.725692913+00:00,-42
2023-12-11 02:17:51.733566929+00:00,-48
2023-12-11 02:17:51.741440944+00:00,-46
2023-12-11 02:17:51.749314960+00:00,-42
2023-12-11 02:17:51.757188976+00:00,-45
2023-12-11 02:17:51.765062992+00:00,-33
